annee_candidature;numero_candidat;classement;nom;prenom;sexe;date_naissance;nationalite;code_postal;ville;pays;boursier;profil_candidat;numero_ine;type_etablissement;libelle_etablissement;commune_etablissement;departement_etablissement;pays_etablissement;niveau_etudes_actuel;type_formation;serie;dominante;specialite;lv1;lv2;diplome;diplome_serie;diplome_dominante;diplome_specialite;diplome_mention;diplome_mois_annee_obtention_bac
2016-2017;511920;79;ROSSI;Rickie;M;1998-05-19;FR;22260;Pontrieux;France;Non boursier;En Terminale;C217343816R;Lycée à classe postbac;Lycée Auguste Pavie;Guingamp;22;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Mathématiques;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Mathématiques;;
2016-2017;307665;NCF;ROUANET;Colombain;M;1997-08-13;FR;35700;Rennes;France;Boursier du secondaire;En Terminale;F231637566Z;Lycée à classe postbac;Lycée Victor et Hélène BASCH;Rennes;35;France;Terminale;Terminale;STMG;;Systèmes d'information et de gestion;Allemand;Anglais;Bac en préparation;Sciences et Technologies du Management et de la Gestion;;Systèmes d'information et de gestion;;
2016-2017;711050;133;ROUAULT;Ridley;M;1999-01-14;FR;35320;Le Sel-de-Bretagne;France;Non boursier;En Terminale;M643959193J;Lycée sans classe postbac;Lycée Jean Brito;Bain-de-Bretagne;35;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Mathématiques;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Mathématiques;;
2016-2017;730307;89;ROUDAUT;Booker;M;1998-08-28;FR;72160;Connerré;France;Non boursier;En Terminale;N193658657U;Lycée à classe postbac;Lycée Le Mans Sud;Le Mans;72;France;Terminale;Terminale;S;Sciences de l'ingénieur;Informatique et Sciences du numérique;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de l'ingénieur;Informatique et Sciences du numérique;;
2016-2017;331625;48;ROUDAUT;Garey;M;1998-02-22;FR;56530;Quéven;France;Non boursier;En Terminale;D558764797T;Lycée à classe postbac;Lycée Jean-Baptiste Colbert;Lorient;56;France;Terminale;Terminale;S;Sciences de l'ingénieur;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de l'ingénieur;Informatique et Sciences du numérique;;
2016-2017;226430;169;ROUDAUT;Lane;M;1998-02-13;FR;29900;Concarneau;France;Non boursier;En Terminale;C679436359Q;Lycée sans classe postbac;Lycée Pierre Gueguin;Concarneau;29;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Mathématiques;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Mathématiques;;
2016-2017;666294;NC;ROUGET;Basil;M;1998-11-05;FR;22300;Lannion;France;Non boursier;En Terminale;D841724922G;Lycée à classe postbac;Lycée Felix Le Dantec;Lannion;22;France;Terminale;Terminale;S;Sciences de l'ingénieur;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de l'ingénieur;Informatique et Sciences du numérique;;
2016-2017;222121;NC;ROUGIER;Headley;M;1997-11-07;FR;29217;Le Conquet;France;Non boursier;En Terminale;Z164887591L;Lycée à classe postbac;Lycée Vauban;Brest;29;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2016-2017;315445;NCF;ROUILLE;Aldous;M;1998-08-21;FR;56400;Pluneret;France;Boursier du secondaire;En Terminale;O244132997D;Lycée à classe postbac;Lycée Benjamin Franklin;Auray;56;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2016-2017;1202860;228;ROUILLE;Isaiah;M;1997-07-16;FR;35800;Dinard;France;Boursier de l'enseignement supérieur;Scolarisé dans le supérieur en France;X836507611N;Université;Université de Rennes 1;Rennes;35;France;1ère année d'études supérieures;Licences;Licence - Sciences - technologies - santé;;Physique, chimie;;;Bac français obtenu;Scientifique;Sciences de la Vie et de la Terre;Physique-chimie;Admis mention Assez Bien;07/2015   
2016-2017;770190;NC;ROUILLE;Wendell;M;1998-05-28;FR;22490;Pleslin-Trigavou;France;Boursier du secondaire;En Terminale;P832437784E;Lycée à classe postbac;Lycée De La Fontaine Des Eaux;Dinan;22;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2016-2017;1110023;NCF;ROUQUETTE;Tye;M;1995-06-05;FR;35250;Saint Sulpice la Forêt;France;Non boursier;Scolarisé dans le supérieur en France;O130533151D;Université;Université de Rennes 1;Rennes;35;France;2nd année d'études supérieures;Licences;Licence - Droit-économie-gestion;;Economie et gestion;;;Bac français obtenu;Economique et social;;Economie approfondie;Admis mention Bien;07/2013   
2016-2017;382221;NC;ROURE;Reginald;M;1998-03-11;FR;29450;Sizun;France;Non boursier;En Terminale;D963184041K;Lycée à classe postbac;Lycée du Leon;Landivisiau;29;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Mathématiques;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Mathématiques;;
2016-2017;225323;NC;ROUSSEAUX;Aristide;M;1998-12-14;FR;22440;Ploufragan;France;Boursier du secondaire;En Terminale;W722101133J;Lycée à classe postbac;Lycée Eugene Freyssinet;Saint-Brieuc;22;France;Terminale;Terminale;STI2D;;Energies et environnement;Anglais;Allemand;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Energies et environnement;;
2016-2017;144961;NC;ROUSSELLE;Sampson;M;1998-09-12;FR;56200;Cournon;France;Non boursier;En Terminale;C449379455B;Lycée à classe postbac;Lycée St Sauveur;Redon;35;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2016-2017;160904;NC;ROUXEL;Jordon;M;1999-05-13;FR;56130;Nivillac;France;Non boursier;En Terminale;W592527035G;Lycée à classe postbac;Lycée Marcelin Berthelot;Questembert;56;France;Terminale;Terminale;S;Sciences de l'ingénieur;Physique-chimie;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de l'ingénieur;Physique-chimie;;
2016-2017;401372;34;ROUXEL;Randal;M;1998-06-12;FR;29470;Loperhet;France;Non boursier;En Terminale;L678160525E;Lycée à classe postbac;Lycée St-Sébastien;Landerneau;29;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2016-2017;1049513;NP;ROUYER;Kipling;M;1997-04-29;FR;53500;Ernee;France;Non boursier;En Terminale;R153574954G;Lycée sans classe postbac;COURS MARIE DES LYS;Versailles;78;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Sciences de la vie et de la terre;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Sciences de la vie et de la terre;;
2016-2017;1226877;NCF;ROZE;Abel;M;1993-03-13;FR;97200;Fort de franceFort-de-france;France;Non boursier;Scolarisé dans le supérieur en France;O244426813B;Université;Université des Antilles - Pôle Martinique;Schoelcher;972;France;1ère année d'études supérieures;Licences;Licence - Sciences - technologies - santé;;Informatique;;;Bac français obtenu;Littéraire;;Langue renforcée;Admis mention Bien;07/2011   
2016-2017;1165311;NC;ROZE;Scot;M;1991-02-15;FR;44000;Nantes;France;Non boursier;Non scolarisé;Y276199166C;;;;;;;;;;;;;Bac français obtenu;Scientifique;Sciences de la Vie et de la Terre;Sciences de la vie et de la terre;Admis sans mention;06/2010   
2016-2017;666223;111;ROZE;Terance;M;1998-05-19;FR;22140;Bégard;France;Non boursier;En Terminale;C671829839P;Lycée à classe postbac;Lycée Felix Le Dantec;Lannion;22;France;Terminale;Terminale;S;Sciences de l'ingénieur;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de l'ingénieur;Informatique et Sciences du numérique;;
2016-2017;313678;NCF;ROZIER;Fulke;M;1998-09-16;FR;29410;Saint-Thégonnec;France;Non boursier;En Terminale;Q376152239K;Lycée sans classe postbac;Lycée Notre Dame Du Mur;Morlaix;29;France;Terminale;Terminale;S;Sciences de l'ingénieur;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de l'ingénieur;Informatique et Sciences du numérique;;
2016-2017;570807;NC;SABATIER;Carlyle;M;1998-08-26;FR;35890;Laillé;France;Non boursier;En Terminale;U282592358Y;Lycée sans classe postbac;Lycée Anita Conti;Bruz;35;France;Terminale;Terminale;ES;;Sciences sociales et politiques;Anglais;Espagnol;Bac en préparation;Economique et social;;Sciences sociales et politiques;;
2016-2017;318633;186;SABATIER;Marlon;M;1998-06-19;FR;14340;Formentin;France;Non boursier;En Terminale;E874955390V;Lycée sans classe postbac;Lycée Marcel Gambier;Lisieux;14;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Mathématiques;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Mathématiques;;
2016-2017;667694;NC;SAGOT;Marvyn;M;1998-01-28;FR;29250;Saint-Pol-de-Léon;France;Non boursier;En Terminale;N835917945E;Lycée à classe postbac;Lycée N-D DU KREISKER;Saint-Pol-de-Léon;29;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2016-2017;253330;NCF;SAILLARD;Goodwin;M;1998-12-08;FR;35340;Liffré;France;Non boursier;En Terminale;W362452714W;Lycée à classe postbac;Lycée Francois René De Chateaubriand;Rennes;35;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Physique-chimie;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Physique-chimie;;
2016-2017;412426;NC;SAILLARD;Pauleen;F;1997-05-22;FR;35000;Rennes;France;Non boursier;En Terminale;S636332815T;Lycée à classe postbac;Lycée St Martin;Rennes;35;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Chinois;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2016-2017;440686;NC;SALOMON;Dixie;F;1998-11-14;FR;56500;Locminé;France;Non boursier;En Terminale;D745398076R;Lycée à classe postbac;Lycée Joseph Loth;Pontivy;56;France;Terminale;Terminale;S;Sciences de l'ingénieur;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de l'ingénieur;Informatique et Sciences du numérique;;
2016-2017;771793;170;SAMSON;Adolph;M;1998-07-08;FR;61100;Landisacq;France;Non boursier;En Terminale;I735725438V;Lycée à classe postbac;Lycée Jean Guehenno;Flers;61;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2016-2017;591621;NC;SANSON;Sébastien;M;1998-07-02;FR;14200;Hérouville-Saint-Clair;France;Non boursier;En Terminale;L309824367E;Lycée à classe postbac;Lycée Salvador Allende;Hérouville-Saint-Clair;14;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2016-2017;1051761;NC;SAULNIER;Wesley;M;1998-03-12;FR;35000;Rennes;France;Boursier de l'enseignement supérieur;Scolarisé dans le supérieur en France;X771278756I;Université;Université de Rennes 1;Rennes;35;France;1ère année d'études supérieures;Licences;Licence - Sciences - technologies - santé;;Physique;;;Bac français obtenu;Scientifique;Sciences de la Vie et de la Terre;Sciences de la vie et de la terre;Admis mention Assez Bien;07/2015   
2016-2017;770120;NC;SAVARY;Urbain;M;1998-10-20;FR;22130;Corseul;France;Non boursier;En Terminale;Y566872543G;Lycée à classe postbac;Lycée De La Fontaine Des Eaux;Dinan;22;France;Terminale;Terminale;S;Sciences de l'ingénieur;Physique-chimie;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de l'ingénieur;Physique-chimie;;
2016-2017;225272;162;SCHMIDT;Tilly;F;1999-11-25;FR;22000;Saint-Brieuc;France;Non boursier;En Terminale;K725954229Q;Lycée à classe postbac;Lycée Eugene Freyssinet;Saint-Brieuc;22;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Mathématiques;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Mathématiques;;
2016-2017;440359;NC;SCHWARTZ;Ford;M;1998-04-17;FR;29900;Concarneau;France;Non boursier;En Terminale;I133477272S;Lycée sans classe postbac;Lycée St Joseph;Concarneau;29;France;Terminale;Terminale;ES;;Sciences sociales et politiques;Anglais;Espagnol;Bac en préparation;Economique et social;;Sciences sociales et politiques;;
2016-2017;506870;NC;SEGARD;Martie;M;1998-12-04;FR;35890;Bourg-des-Comptes;France;Non boursier;En Terminale;I335261587O;Lycée à classe postbac;Lycée Bréquigny;Rennes;35;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2016-2017;1120295;NCF;SEGARD;Poldie;M;1996-12-06;FR;95470;Fosses;France;Boursier de l'enseignement supérieur;Scolarisé dans le supérieur en France;F755245861V;Ecole;INSA Rennes;Rennes;35;France;2nd année d'études supérieures;Formations d'ingénieurs;Scientifique STPI 2ème année;;;;;Bac français obtenu;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Admis mention Bien;07/2014   
2016-2017;222097;NCF;SEGUIN;Konnor;M;1997-08-27;FR;29200;Brest;France;Non boursier;En Terminale;N163131859Y;Lycée à classe postbac;Lycée Vauban;Brest;29;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2016-2017;722779;NC;SELLIER;Constantin;M;1998-01-18;FR;28300;Poisvilliers;France;Non boursier;En Terminale;L342370267C;Lycée à classe postbac;Lycée Jehan De Beauce;Chartres;28;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2016-2017;1163897;NP;SERRANO;Luanne;F;1992-06-28;FR;56000;Vannes;France;Non boursier;Scolarisé dans le supérieur en France;I764885382M;Université;Université de Bretagne Sud - Site de Vannes;Vannes;56;France;1ère année d'études supérieures;Licences;Licence - Sciences - technologies - santé;;Informatique;;;Bac français obtenu;Littéraire;;Musique;Admis sans mention;07/2010   
2016-2017;160779;194;SERRES;Corbin;M;1998-04-16;FR;56190;Ambon;France;Non boursier;En Terminale;H200112156K;Lycée à classe postbac;Lycée Marcelin Berthelot;Questembert;56;France;Terminale;Terminale;S;Sciences de l'ingénieur;Physique-chimie;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de l'ingénieur;Physique-chimie;;
2016-2017;404700;NC;SERVANT;Everett;M;1998-07-18;FR;50320;Saint-Jean-des-Champs;France;Non boursier;En Terminale;P114654983Q;Lycée à classe postbac;Lycée Julliot De La Morandiere;Granville;50;France;Terminale;Terminale;S;Sciences de l'ingénieur;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de l'ingénieur;Informatique et Sciences du numérique;;
2016-2017;318826;NCF;SERY;Kory;M;1998-11-16;FR;35000;Rennes;France;Non boursier;En Terminale;D226127627D;Lycée à classe postbac;Lycée Joliot-Curie;Rennes;35;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2016-2017;824497;55;SICARD;Chip;M;1998-04-06;FR;22150;Saint-Carreuc;France;Non boursier;En Terminale;E175827724W;Lycée à classe postbac;Lycée Francois Rabelais;Saint-Brieuc;22;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Mathématiques;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Mathématiques;;
2016-2017;666333;NCF;SILVESTRE;Carlyle;M;1998-07-15;FR;29620;Plouégat-Guérand;France;Non boursier;En Terminale;C845536686N;Lycée à classe postbac;Lycée Felix Le Dantec;Lannion;22;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Allemand;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2016-2017;770192;268;SIMONET;Inès;F;1998-07-27;FR;22490;Pleslin-Trigavou;France;Non boursier;En Terminale;H647115121U;Lycée à classe postbac;Lycée De La Fontaine Des Eaux;Dinan;22;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Mathématiques;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Mathématiques;;
2016-2017;1013475;NC;SOLER;Avelina;F;1997-03-16;FR;49300;Cholet;France;Boursier de l'enseignement supérieur;Scolarisé dans le supérieur en France;O721686785P;Université;Université Angers;Angers;49;France;1ère année d'études supérieures;Licences;Licence - Sciences - technologies - santé;;Médecine, Pharmacie, Odontologie (dentiste), Maïeutique (sage-femmes);;;Bac français obtenu;Scientifique;Sciences de la Vie et de la Terre;Sciences de la vie et de la terre;Admis sans mention;07/2015   
2016-2017;602971;264;SOLER;Oberon;M;1998-12-12;FR;53440;La Bazoge-Montpinçon;France;Non boursier;En Terminale;M739171348N;Lycée à classe postbac;Lycée Reaumur;Laval;53;France;Terminale;Terminale;S;Sciences de l'ingénieur;Mathématiques;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de l'ingénieur;Mathématiques;;
2016-2017;442837;NP;SOUCHET;Perceval;M;1998-12-22;FR;49330;Sceaux-d'Anjou;France;Non boursier;En Terminale;M731844328J;Lycée à classe postbac;Lycée Henri Bergson;Angers;49;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2016-2017;582201;NC;SOULIE;Everett;M;1998-04-25;FR;56000;Vannes;France;Boursier du secondaire;En Terminale;U801017626P;Lycée à classe postbac;Lycée Alain René Lesage;Vannes;56;France;Terminale;Terminale;S;Sciences de l'ingénieur;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de l'ingénieur;Informatique et Sciences du numérique;;
2016-2017;824341;NCF;STEINER;Neo;M;1997-01-13;FR;22000;Saint-Brieuc;France;Non boursier;En Terminale;L569869951Q;Lycée à classe postbac;Lycée Francois Rabelais;Saint-Brieuc;22;France;Terminale;Terminale;STMG;;Systèmes d'information et de gestion;Anglais;Espagnol;Bac en préparation;Sciences et Technologies du Management et de la Gestion;;Systèmes d'information et de gestion;;
2016-2017;796410;NC;STEPHAN;Darrin;M;1998-07-23;FR;29100;Douarnenez;France;Boursier du secondaire;En Terminale;O041228273V;Lycée sans classe postbac;Lycée Ste Elisabeth-St Blaise;Douarnenez;29;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Mathématiques;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Mathématiques;;
2016-2017;639992;NC;SUTTER;Nevil;M;1998-10-13;FR;29241;Locquirec;France;Boursier du secondaire;En Terminale;K855252277H;Lycée à classe postbac;Lycée Tristan Corbiere;Morlaix;29;France;Terminale;Terminale;STMG;;Mercatique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies du Management et de la Gestion;;Mercatique;;
2016-2017;303634;NCF;SUZANNE;Darwin;M;1998-03-30;FR;56100;Lorient;France;Boursier du secondaire;En Terminale;H829878486A;Lycée à classe postbac;Lycée Dupuy De Lôme;Lorient;56;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Physique-chimie;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Physique-chimie;;
2016-2017;244287;NC;TALON;Alton;M;1998-05-19;FR;35310;Bréal-sous-Montfort;France;Boursier du secondaire;En Terminale;A508331281K;Lycée sans classe postbac;Lycée Rene Cassin;Montfort-sur-Meu;35;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Sciences de la vie et de la terre;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Sciences de la vie et de la terre;;
2016-2017;283467;NP;TAVERNIER;Braeden;M;1997-06-17;FR;91940;Les Ulis;France;Non boursier;En Terminale;I977312475M;Lycée à classe postbac;Lycée de l'Essouriau;Les Ulis;91;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Allemand;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2016-2017;505838;181;TAVERNIER;Ken;M;1998-08-29;FR;29880;Plouguerneau;France;Non boursier;En Terminale;L780211327P;Lycée sans classe postbac;Lycée St Francois - Notre Dame;Lesneven;29;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Mathématiques;Anglais;Breton;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Mathématiques;;
2016-2017;742657;NCF;TAVERNIER;Rainier;M;1998-08-13;FR;29490;Guipavas;France;Non boursier;En Terminale;L867983862X;Lycée à classe postbac;Lycée Estran Charles De Foucauld;Brest;29;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2016-2017;511164;NC;TEISSIER;Deon;M;1998-10-28;FR;50320;Le Tanu;France;Non boursier;En Terminale;H234820871A;Lycée à classe postbac;Lycée Sevigne;Granville;50;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2016-2017;508256;NC;THEBAULT;Onesime;M;1997-09-23;FR;35610;Roz-sur-Couesnon;France;Boursier du secondaire;En Terminale;I582418422S;Lycée à classe postbac;Lycée Maupertuis;Saint-Malo;35;France;Terminale;Terminale;S;Sciences de l'ingénieur;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de l'ingénieur;Informatique et Sciences du numérique;;
2016-2017;632813;NC;THERY;Clifford;M;1997-01-29;FR;29710;Plonéis;France;Boursier du secondaire;En Terminale;F333116675J;Lycée à classe postbac;Lycée Yves Thepot;Quimper;29;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2016-2017;418770;NC;THEVENIN;Édouard;M;1998-10-14;FR;72230;Mulsanne;France;Non boursier;En Terminale;K438816211L;Lycée à classe postbac;Lycée Polyvalent Touchard - Washington;Le Mans;72;France;Terminale;Terminale;S;Sciences de l'ingénieur;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de l'ingénieur;Informatique et Sciences du numérique;;
2016-2017;824455;135;THIBAULT;Amyas;M;1998-06-26;FR;22960;Plédran;France;Non boursier;En Terminale;P722150977Q;Lycée à classe postbac;Lycée Francois Rabelais;Saint-Brieuc;22;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Mathématiques;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Mathématiques;;
2016-2017;691279;253;THIBAULT;Benedict;M;1998-09-12;FR;31880;La Salvetat-Saint-Gilles;France;Non boursier;En Terminale;D224803663A;Lycée à classe postbac;Lycée International Victor Hugo;Colomiers;31;France;Terminale;Terminale;S;Sciences de l'ingénieur;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de l'ingénieur;Informatique et Sciences du numérique;;
2016-2017;597109;NP;THIBAULT;Daryl;M;1998-02-06;FR;14710;Mandeville-en-Bessin;France;Non boursier;En Terminale;A889544926B;Lycée sans classe postbac;Lycée Alain Chartier;Bayeux;14;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2016-2017;1048403;NCF;THIBAULT;Nannie;F;1997-01-20;FR;35340;Liffré;France;Non boursier;Scolarisé dans le supérieur en France;M452257687U;Université;Université de Bretagne Sud - Site de Lorient;Lorient;56;France;1ère année d'études supérieures;Cycle universitaire préparatoire aux grandes écoles;CUPGE ENSIBS;;;;;Bac français obtenu;Scientifique;Sciences de la Vie et de la Terre;Physique-chimie;Admis mention Bien;07/2015   
2016-2017;1192800;38;THIEBAUT;Édouard;M;1995-05-20;FR;38400;Saint Martin d'Hères;France;Non boursier;Scolarisé dans le supérieur en France;P102162874F;Université;UNIVERSITE GRENOBLE ALPES;Grenoble;38;France;3ème année d'études supérieures;Licences;Licence - Sciences - technologies - santé;;Physique;;;Bac français obtenu;Scientifique;Sciences de la Vie et de la Terre;Physique-chimie;Admis mention Très Bien;07/2013   
2016-2017;347875;NC;THIERY;Nelson;M;1998-06-26;FR;56140;Malestroit;France;Non boursier;En Terminale;J027615826K;Lycée à classe postbac;Lycée La Mennais;Ploërmel;56;France;Terminale;Terminale;S;Sciences de l'ingénieur;Physique-chimie;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de l'ingénieur;Physique-chimie;;
2016-2017;824372;NCF;THIRIET;Horatio;M;1997-11-09;FR;22000;Saint Brieuc;France;Non boursier;En Terminale;Y443233286P;Lycée à classe postbac;Lycée Francois Rabelais;Saint-Brieuc;22;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Mathématiques;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Mathématiques;;
2016-2017;313720;NC;THIRY;Denzil;M;1998-02-24;UE;29600;Saint-Martin-des-Champs;France;Non boursier;En Terminale;N148289583U;Lycée sans classe postbac;Lycée Notre Dame Du Mur;Morlaix;29;France;Terminale;Terminale;S;Sciences de l'ingénieur;Physique-chimie;Allemand;Anglais;Bac en préparation;Scientifique;Sciences de l'ingénieur;Physique-chimie;;
2016-2017;490273;NC;THIRY;Zachary;M;1998-01-04;FR;56300;Pontivy;France;Non boursier;En Terminale;E541811157Y;Lycée à classe postbac;Lycée Jeanne d'Arc-St Ivy;Pontivy;56;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Mathématiques;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Mathématiques;;
2016-2017;666067;NC;THOMASSIN;Blaise;M;1997-05-30;FR;22560;Pleumeur-Bodou;France;Non boursier;En Terminale;Y713848215C;Lycée à classe postbac;Lycée Felix Le Dantec;Lannion;22;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2016-2017;277096;241;THUILLIER;Robert;M;1998-07-18;FR;29000;Quimper;France;Non boursier;En Terminale;H415826878U;Lycée à classe postbac;Lycée Le Likès;Quimper;29;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
