annee_inscription;etape;libel_etape;version_etape;num_etudiant;ine;nom;prenom;date_naissance;sexe;nationalite;code_postal;ville;cat_socio_etudiant;cat_socio_parent;bac;mention;annee_bac;departement_bac;etablissement_bac;lib_etab_bac;situ_annee_prec;bourse_superieur
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;40786286237;Z768658571D;BATARD;Channing;2000-10-04;M;FRANCAIS(E);22300;LANNION;Elève/Etudiant;Ingenieur cadre technique d'entreprise;S;AB;2018;22;0220023F;FELIX LE DANTEC;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;40786286237;Z768658571D;BATARD;Channing;2000-10-04;M;FRANCAIS(E);22300;LANNION;Elève/Etudiant;Ingenieur cadre technique d'entreprise;S;AB;2018;22;0220023F;FELIX LE DANTEC;A;
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;74781655577;U454410314F;VIAUD;Briscoe;2000-10-17;M;FRANCAIS(E);56530;QUEVEN;Elève/Etudiant;Personne sans activite professionnelle;S;B;2018;56;0560026Z;COLBERT;C;Bourse enseignement supérieur définitive
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;74781655577;U454410314F;VIAUD;Briscoe;2000-10-17;M;FRANCAIS(E);56530;QUEVEN;Elève/Etudiant;Personne sans activite professionnelle;S;B;2018;56;0560026Z;COLBERT;A;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;82184371370;L285879317D;DOUBLET;Faustine;2000-10-23;F;FRANCAIS(E);29460;HOPITAL-CAMFROUT;Personne sans activite professionnelle;Professeur, profession scientifique;S;B;2018;29;0290007A;KERICHEN;C;Bourse enseignement supérieur définitive
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;82184371370;L285879317D;DOUBLET;Faustine;2000-10-23;F;FRANCAIS(E);29460;HOPITAL-CAMFROUT;Personne sans activite professionnelle;Professeur, profession scientifique;S;B;2018;29;0290007A;KERICHEN;A;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;32376274835;Y690767764A;MATHON;Cullen;2000-10-02;M;FRANCAIS(E);22410;SAINT-QUAY-PORTRIEUX;Personne sans activite professionnelle;Person. service direct aux particuliers;S;B;2018;22;0220060W;E.FREYSSINET;C;Bourse enseignement supérieur définitive
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;32376274835;Y690767764A;MATHON;Cullen;2000-10-02;M;FRANCAIS(E);22410;SAINT-QUAY-PORTRIEUX;Personne sans activite professionnelle;Person. service direct aux particuliers;S;B;2018;22;0220060W;E.FREYSSINET;A;Bourse enseignement supérieur définitive
2019-2020;T10607;DUT INFORMATIQUE 2 ANNEE (alternance);191;30737214223;E087388082V;VILLETTE;Ralph;2000-10-06;M;FRANCAIS(E);29100;DOUARNENEZ;Personne sans activite professionnelle;Ingenieur cadre technique d'entreprise;S;AB;2018;29;0290194D;PRIVE STE ELISABETH;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;30737214223;E087388082V;VILLETTE;Ralph;2000-10-06;M;FRANCAIS(E);29100;DOUARNENEZ;Personne sans activite professionnelle;Ingenieur cadre technique d'entreprise;S;AB;2018;29;0290194D;PRIVE STE ELISABETH;A;
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;83412234131;N163558728W;TEXIER;Ignace;2000-11-06;M;FRANCAIS(E);44640;LE PELLERIN;Elève/Etudiant;Commercant et assimile;S;AB;2018;44;0442309W;LYCEE GENERAL ET TECHNOLOGIQUE ALCIDE D';C;Bourse enseignement supérieur définitive
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;83412234131;N163558728W;TEXIER;Ignace;2000-11-06;M;FRANCAIS(E);44640;LE PELLERIN;Personne sans activite professionnelle;Commercant et assimile;S;AB;2018;44;0442309W;LYCEE GENERAL ET TECHNOLOGIQUE ALCIDE D';A;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;97834694934;I288501811B;MINET;Christi;2000-10-14;F;FRANCAIS(E);56440;LANGUIDIC;Personne sans activite professionnelle;Ouvriers qualifiés manutention magasin;S;AB;2018;56;0560098C;PRIVE NOTRE DAME DU VOEU;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;97834694934;I288501811B;MINET;Christi;2000-10-14;F;FRANCAIS(E);56440;LANGUIDIC;Personne sans activite professionnelle;Ouvriers qualifiés manutention magasin;S;AB;2018;56;0560098C;PRIVE NOTRE DAME DU VOEU;A;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;23468555012;W103761737S;BECQUET;Darren;2000-10-11;M;FRANCAIS(E);56920;KERFOURN;Elève/Etudiant;Commercant et assimile;S;P;2018;56;0560038M;JOSEPH LOTH;C;Bourse enseignement supérieur définitive
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;23468555012;W103761737S;BECQUET;Darren;2000-10-11;M;FRANCAIS(E);56920;KERFOURN;Elève/Etudiant;Contremaitre-agent de maitrise;S;P;2018;56;0560038M;JOSEPH LOTH;A;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;37294076157;G361617167H;FUCHS;Oli;2000-11-06;M;FRANCAIS(E);29860;PLOUVIEN;Personne sans activite professionnelle;Cadre administratif et commercial d'entr;S;AB;2018;29;0290335G;PRIVE LA CROIX ROUGE;C;Bourse enseignement supérieur définitive
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;37294076157;G361617167H;FUCHS;Oli;2000-11-06;M;FRANCAIS(E);29860;PLOUVIEN;Personne sans activite professionnelle;Cadre administratif et commercial d'entr;S;AB;2018;29;0290335G;PRIVE LA CROIX ROUGE;A;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;49261443428;S661552394T;REGNAULT;Nat;2000-08-19;M;FRANCAIS(E);29470;PLOUGASTEL-DAOULAS;Personne sans activite professionnelle;Retraité artisan-commerce-chef entrepris;S;P;2018;29;0290159R;PRIVE ST SEBASTIEN;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;49261443428;S661552394T;REGNAULT;Nat;2000-08-19;M;FRANCAIS(E);29470;PLOUGASTEL-DAOULAS;Personne sans activite professionnelle;Retraité artisan-commerce-chef entrepris;S;P;2018;29;0290159R;PRIVE ST SEBASTIEN;A;
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;70175252634;F447574243N;TARDIEU;Buck;2000-01-15;M;FRANCAIS(E);29600;MORLAIX;Personne sans activite professionnelle;Ouvriers qualifiés de type industriel;S;B;2018;29;0290051Y;TRISTAN CORBIERE;C;Bourse enseignement supérieur définitive
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;70175252634;F447574243N;TARDIEU;Buck;2000-01-15;M;FRANCAIS(E);29600;MORLAIX;Personne sans activite professionnelle;Ouvriers qualifiés de type industriel;S;B;2018;29;0290051Y;TRISTAN CORBIERE;A;Bourse enseignement supérieur définitive
2019-2020;T10607;DUT INFORMATIQUE 2 ANNEE (alternance);191;34865641714;T268122314B;LAHAYE;Elmer;2000-11-03;M;FRANCAIS(E);22120;QUESSOY;Personne sans activite professionnelle;Profession liberale;S;AB;2018;22;0220196U;HENRI AVRIL;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;34865641714;T268122314B;LAHAYE;Elmer;2000-11-03;M;FRANCAIS(E);22120;QUESSOY;Personne sans activite professionnelle;Profession liberale;S;AB;2018;22;0220196U;HENRI AVRIL;A;
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;32814436863;K735220831O;POISSON;Clinton;2000-04-18;M;FRANCAIS(E);22400;LAMBALLE-ARMOR;Personne sans activite professionnelle;Ouvriers qualifiés de type industriel;S;P;2018;22;0220099N;PRIVE ST JOSEPH;C;Bourse enseignement supérieur définitive
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;32814436863;K735220831O;POISSON;Clinton;2000-04-18;M;FRANCAIS(E);22400;LAMBALLE-ARMOR;Personne sans activite professionnelle;Ouvriers qualifiés de type industriel;S;P;2018;22;0220099N;PRIVE ST JOSEPH;A;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;78193939641;X577121512D;LE BERRE;Randolph;2000-07-05;M;FRANCAIS(E);29850;GOUESNOU;Personne sans activite professionnelle;Ingenieur cadre technique d'entreprise;S;P;2018;29;0290335G;PRIVE LA CROIX ROUGE;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;78193939641;X577121512D;LE BERRE;Randolph;2000-07-05;M;FRANCAIS(E);29850;GOUESNOU;Personne sans activite professionnelle;Ingenieur cadre technique d'entreprise;S;P;2018;29;0290335G;PRIVE LA CROIX ROUGE;A;
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;84883158734;U822667463C;RAOULT;Thurstan;2000-05-19;M;FRANCAIS(E);22120;YFFINIAC;Personne sans activite professionnelle;Profession interm sante et  trav. social;S;AB;2018;22;0220111B;PRIVE ST PIERRE;C;Bourse enseignement supérieur définitive
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;84883158734;U822667463C;RAOULT;Thurstan;2000-05-19;M;FRANCAIS(E);22120;YFFINIAC;Personne sans activite professionnelle;Profession interm sante et  trav. social;S;AB;2018;22;0220111B;PRIVE ST PIERRE;A;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;25641028863;S695958478G;MARTIAL;Durward;2001-12-27;M;FRANCAIS(E);22440;PLOUFRAGAN;Elève/Etudiant;Employe de commerce;S;B;2018;22;0220111B;PRIVE ST PIERRE;C;Bourse enseignement supérieur définitive
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;25641028863;S695958478G;MARTIAL;Durward;2001-12-27;M;FRANCAIS(E);22440;PLOUFRAGAN;Elève/Etudiant;Employe de commerce;S;B;2018;22;0220111B;PRIVE ST PIERRE;A;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;43628936695;Z679827583Q;BEAUDOIN;Maxime;2000-11-02;M;FRANCAIS(E);22000;SAINT-BRIEUC;Elève/Etudiant;Artisan;S;AB;2018;22;0220110A;PRIVE ST CHARLES;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;43628936695;Z679827583Q;BEAUDOIN;Maxime;2000-11-02;M;FRANCAIS(E);22000;SAINT-BRIEUC;Personne sans activite professionnelle;Artisan;S;AB;2018;22;0220110A;PRIVE ST CHARLES;A;Bourse enseignement supérieur définitive
2019-2020;T10607;DUT INFORMATIQUE 2 ANNEE (alternance);191;23851816517;K148024621C;LESUEUR;Ramsey;2000-09-20;M;FRANCAIS(E);22140;CAVAN;Elève/Etudiant;Ouvrier non qualifie;S;AB;2018;22;0220023F;FELIX LE DANTEC;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;23851816517;K148024621C;LESUEUR;Ramsey;2000-09-20;M;FRANCAIS(E);22140;CAVAN;Elève/Etudiant;Ouvrier non qualifie;S;AB;2018;22;0220023F;FELIX LE DANTEC;A;
2019-2020;T10607;DUT INFORMATIQUE 2 ANNEE (alternance);191;49588175142;A164440152C;FAIVRE;Lexie;2000-08-08;F;FRANCAIS(E);29260;LESNEVEN;Personne sans activite professionnelle;Non renseigne (inconnu);S;AB;2018;29;0290044R;DE L ELORN;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;49588175142;A164440152C;FAIVRE;Lexie;2000-08-08;F;FRANCAIS(E);29260;LESNEVEN;Elève/Etudiant;Profession liberale;S;AB;2018;29;0290044R;DE L ELORN;A;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;52738158103;P329417972K;JAN;Kamryn;2000-10-04;F;FRANCAIS(E);22250;BROONS;Personne sans activite professionnelle;Ouvrier qualifie;TI2D;TB;2018;22;0753881L;LA FONTAINE;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;52738158103;P329417972K;JAN;Kamryn;2000-10-04;F;FRANCAIS(E);22250;BROONS;Personne sans activite professionnelle;Ouvrier qualifie;TI2D;TB;2018;22;0753881L;LA FONTAINE;A;Bourse enseignement supérieur définitive
2019-2020;T10607;DUT INFORMATIQUE 2 ANNEE (alternance);191;28741419147;H668151729U;ESNAULT;Carlene;2000-07-27;F;FRANCAIS(E);56300;SAINT-THURIAU;Personne sans activite professionnelle;Sans profession -60 ans (hors retraité);S;AB;2018;56;0560038M;JOSEPH LOTH;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;28741419147;H668151729U;ESNAULT;Carlene;2000-07-27;F;FRANCAIS(E);56300;SAINT-THURIAU;Personne sans activite professionnelle;Sans profession -60 ans (hors retraité);S;AB;2018;56;0560038M;JOSEPH LOTH;A;Bourse enseignement supérieur définitive
2018-2019;T10606;DUT INFORMATIQUE 2 ANNEE (apprentissage);171;59968144726;T467457656M;DUMORTIER;Donny;1995-04-27;M;SYRIEN(NE);22300;LANNION;Personne sans activite professionnelle;Non renseigne (inconnu);31;;2013;99;;;C;
2017-2018;T10601;DUT INFORMATIQUE 1 ANNEE;131;59968144726;T467457656M;DUMORTIER;Donny;1995-04-27;M;SYRIEN(NE);22300;LANNION;Personne sans activite professionnelle;Non renseigne (inconnu);31;;2013;99;;;C;
2019-2020;T10607;DUT INFORMATIQUE 2 ANNEE (alternance);191;67733138442;O874864846W;HUCHET;Quintin;2000-03-02;M;FRANCAIS(E);35430;SAINT-JOUAN-DES-GUERETS;Personne sans activite professionnelle;Retraité employé;S;B;2018;35;0350048M;JACQUES CARTIER;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;67733138442;O874864846W;HUCHET;Quintin;2000-03-02;M;FRANCAIS(E);35430;SAINT-JOUAN-DES-GUERETS;Personne sans activite professionnelle;Retraité employé;S;B;2018;35;0350048M;JACQUES CARTIER;A;
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;95627457914;X626577586G;PAYEN;Xavier;2000-08-13;M;FRANCAIS(E);35700;RENNES;Elève/Etudiant;Cadre de la fonction publique;S;AB;2018;35;0350778F;PRIVE DE L ASSOMPTION;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;95627457914;X626577586G;PAYEN;Xavier;2000-08-13;M;FRANCAIS(E);35700;RENNES;Elève/Etudiant;Cadre de la fonction publique;S;AB;2018;35;0350778F;PRIVE DE L ASSOMPTION;A;
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;54655403650;I125737773L;DUBUISSON;Hyram;2000-04-23;M;FRANCAIS(E);35410;CHATEAUGIRON;Elève/Etudiant;Ingenieur cadre technique d'entreprise;S;AB;2018;35;0350793X;PRIVE ST ETIENNE;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;54655403650;I125737773L;DUBUISSON;Hyram;2000-04-23;M;FRANCAIS(E);35410;CHATEAUGIRON;Elève/Etudiant;Ingenieur cadre technique d'entreprise;S;AB;2018;35;0350793X;PRIVE ST ETIENNE;A;
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;81543852719;S859568362C;DURIEZ;Vaughn;2000-01-09;M;FRANCAIS(E);56370;SARZEAU;Personne sans activite professionnelle;Sans profession -60 ans (hors retraité);S;P;2018;56;0560051B;ALAIN RENE LESAGE;C;Bourse enseignement supérieur définitive
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;81543852719;S859568362C;DURIEZ;Vaughn;2000-01-09;M;FRANCAIS(E);56370;SARZEAU;Personne sans activite professionnelle;Sans profession -60 ans (hors retraité);S;P;2018;56;0560051B;ALAIN RENE LESAGE;A;Bourse enseignement supérieur définitive
2019-2020;T10607;DUT INFORMATIQUE 2 ANNEE (alternance);191;71575741077;L736117696I;BORDAS;Modeste;2001-02-20;M;FRANCAIS(E);22300;PLOULEC-H;Personne sans activite professionnelle;Artisan;S;B;2018;22;0220102S;PRIVE BOSSUET;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;71575741077;L736117696I;BORDAS;Modeste;2001-02-20;M;FRANCAIS(E);22300;PLOULEC-H;Personne sans activite professionnelle;Artisan;S;B;2018;22;0220102S;PRIVE BOSSUET;A;
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;88402139920;O237433515E;JEGOU;Marlowe;1999-07-21;M;FRANCAIS(E);29000;QUIMPER;Elève/Etudiant;Profession interm adm et commerc. entrep;TI2D;B;2018;29;0290071V;YVES THEPOT;C;Bourse enseignement supérieur définitive
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;88402139920;O237433515E;JEGOU;Marlowe;1999-07-21;M;FRANCAIS(E);29000;QUIMPER;Elève/Etudiant;Profession interm adm et commerc. entrep;TI2D;B;2018;29;0290071V;YVES THEPOT;A;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;61109689872;Y507084367V;CHABERT;Trevelyan;2000-01-05;M;FRANCAIS(E);29510;BRIEC;Personne sans activite professionnelle;Ouvriers non qualifiés type industrie;TI2D;B;2018;29;0290071V;YVES THEPOT;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;61109689872;Y507084367V;CHABERT;Trevelyan;2000-01-05;M;FRANCAIS(E);29510;BRIEC;Personne sans activite professionnelle;Ouvriers non qualifiés type industrie;TI2D;B;2018;29;0290071V;YVES THEPOT;A;
2019-2020;T10607;DUT INFORMATIQUE 2 ANNEE (alternance);191;66455703887;I068194572K;LE BRUN;Henderson;2000-06-03;M;FRANCAIS(E);29800;SAINT-DIVY;Elève/Etudiant;Cadre administratif et commercial d'entr;S;AB;2018;29;0290335G;PRIVE LA CROIX ROUGE;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;66455703887;I068194572K;LE BRUN;Henderson;2000-06-03;M;FRANCAIS(E);29800;SAINT-DIVY;Elève/Etudiant;Cadre administratif et commercial d'entr;S;AB;2018;29;0290335G;PRIVE LA CROIX ROUGE;A;
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;98435405757;K088546895C;DESBOIS;Jeannot;2000-02-24;M;FRANCAIS(E);56230;LARRE;Personne sans activite professionnelle;Technicien;S;AB;2018;56;0561641E;MARCELIN BERTHELOT;C;Bourse enseignement supérieur définitive
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;98435405757;K088546895C;DESBOIS;Jeannot;2000-02-24;M;FRANCAIS(E);56230;LARRE;Personne sans activite professionnelle;Technicien;S;AB;2018;56;0561641E;MARCELIN BERTHELOT;A;Bourse enseignement supérieur définitive
2019-2020;T10607;DUT INFORMATIQUE 2 ANNEE (alternance);191;78351315317;V447465965C;MAURIN;Lockie;2000-04-20;M;FRANCAIS(E);29400;GUIMILIAU;Personne sans activite professionnelle;Ouvriers qualifiés manutention magasin;S;P;2018;29;0290198H;PRIVE SAINT ESPRIT;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;78351315317;V447465965C;MAURIN;Lockie;2000-04-20;M;FRANCAIS(E);29400;GUIMILIAU;Personne sans activite professionnelle;Ouvriers qualifiés manutention magasin;S;P;2018;29;0290198H;PRIVE SAINT ESPRIT;A;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;63904531666;J005452492S;LOCATELLI;Roger;2000-07-14;M;FRANCAIS(E);85170;SAINT-DENIS-LA-CHEVASSE;Elève/Etudiant;Employe administratif d'entreprise;S;AB;2018;85;0851401L;J.DE LATTRE DE TASSIGNY;C;Bourse enseignement supérieur définitive
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;63904531666;J005452492S;LOCATELLI;Roger;2000-07-14;M;FRANCAIS(E);85170;SAINT-DENIS-LA-CHEVASSE;Elève/Etudiant;Profession interm adm et commerc. entrep;S;AB;2018;85;0851401L;J.DE LATTRE DE TASSIGNY;A;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;85259362936;B749625486E;LALANDE;Tyrone;2000-04-21;M;FRANCAIS(E);56260;LARMOR-PLAGE;Personne sans activite professionnelle;Professeur, profession scientifique;S;AB;2018;56;0560026Z;COLBERT;C;Bourse enseignement supérieur définitive
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;85259362936;B749625486E;LALANDE;Tyrone;2000-04-21;M;FRANCAIS(E);56260;LARMOR-PLAGE;Personne sans activite professionnelle;Professeur, profession scientifique;S;AB;2018;56;0560026Z;COLBERT;A;
2018-2019;T10606;DUT INFORMATIQUE 2 ANNEE (apprentissage);171;35845038449;K514693558T;LASSERRE;Tylor;1998-05-07;M;FRANCAIS(E);35131;CHARTRES-DE-BRETAGNE;Employe civil-agent de service de la FP;Policier et militaire;S;TB;2016;72;0720896H;PRYTANEE NATIONAL MILITAIRE;C;
2017-2018;T10601;DUT INFORMATIQUE 1 ANNEE;131;35845038449;K514693558T;LASSERRE;Tylor;1998-05-07;M;FRANCAIS(E);35131;CHARTRES-DE-BRETAGNE;Personne sans activite professionnelle;Policier et militaire;S;TB;2016;72;0720896H;PRYTANEE NATIONAL MILITAIRE;E;
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;36031070461;P263181664K;COLOMBEL;Davin;2000-02-18;M;FRANCAIS(E);50620;SAINT-JEAN-DE-DAYE;Personne sans activite professionnelle;Retraité profession intermédiaire;S;AB;2018;50;0501219D;PIERRE ET MARIE CURIE;C;Bourse enseignement supérieur définitive
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;36031070461;P263181664K;COLOMBEL;Davin;2000-02-18;M;FRANCAIS(E);50620;SAINT-JEAN-DE-DAYE;Personne sans activite professionnelle;Retraité profession intermédiaire;S;AB;2018;50;0501219D;PIERRE ET MARIE CURIE;A;Bourse enseignement supérieur définitive
2019-2020;T10607;DUT INFORMATIQUE 2 ANNEE (alternance);191;57723617423;Y549900318F;FOUCHE;Wat;2001-03-09;M;FRANCAIS(E);22730;TREGASTEL;Personne sans activite professionnelle;Retraité cadre;S;AB;2018;22;0220023F;FELIX LE DANTEC;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;57723617423;Y549900318F;FOUCHE;Wat;2001-03-09;M;FRANCAIS(E);22730;TREGASTEL;Personne sans activite professionnelle;Retraité cadre;S;AB;2018;22;0220023F;FELIX LE DANTEC;A;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;87970167548;V028251440J;RAMON;Rodolph;2001-04-04;M;FRANCAIS(E);35120;BAGUER-PICAN;Elève/Etudiant;Ingenieur cadre technique d'entreprise;S;P;2018;35;0352471W;LYCEE GENERAL PRIVE ST MAGLOIRE;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;87970167548;V028251440J;RAMON;Rodolph;2001-04-04;M;FRANCAIS(E);35120;BAGUER-PICAN;Elève/Etudiant;Ingenieur cadre technique d'entreprise;S;P;2018;35;0352471W;LYCEE GENERAL PRIVE ST MAGLOIRE;A;
2017-2018;T10602;DUT INFORMATIQUE 2 ANNEE;141;24245487449;T113263831X;BLIN;Clinton;1991-07-28;M;FRANCAIS(E);22100;DINAN;Personne sans activite professionnelle;Profession liberale;S;AB;2009;22;0220094H;PRIVE DES CORDELIERS;C;
2016-2017;T10601;DUT INFORMATIQUE 1 ANNEE;131;24245487449;T113263831X;BLIN;Clinton;1991-07-28;M;FRANCAIS(E);22100;DINAN;Personne sans activite professionnelle;Profession liberale;S;AB;2009;22;0220094H;PRIVE DES CORDELIERS;S;
2017-2018;T10602;DUT INFORMATIQUE 2 ANNEE;141;98565076721;U190348768X;CARLE;Rudolph;1994-01-07;M;FRANCAIS(E);35250;ANDOUILLE-NEUVILLE;Personne sans activite professionnelle;Contremaitre-agent de maitrise;S;AB;2015;35;0350793X;PRIVE ST ETIENNE;C;
2016-2017;T10601;DUT INFORMATIQUE 1 ANNEE;131;98565076721;U190348768X;CARLE;Rudolph;1994-01-07;M;FRANCAIS(E);35250;ANDOUILLE-NEUVILLE;Personne sans activite professionnelle;Contremaitre-agent de maitrise;S;AB;2015;35;0350793X;PRIVE ST ETIENNE;E;
2019-2020;T10607;DUT INFORMATIQUE 2 ANNEE (alternance);191;55765774440;R235862625T;MILON;Alden;1997-06-09;M;FRANCAIS(E);22300;LANNION;Personne sans activite professionnelle;Personne sans activite professionnelle;S;AB;2015;22;0220070G;CHAPTAL;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;55765774440;R235862625T;MILON;Alden;1997-06-09;M;FRANCAIS(E);22300;LANNION;Personne sans activite professionnelle;Personne sans activite professionnelle;S;AB;2015;22;0220070G;CHAPTAL;H;Bourse enseignement supérieur définitive
2018-2019;T10602;DUT INFORMATIQUE 2 ANNEE;141;85467112057;O205031675W;JOUBERT;Dawson;1997-06-26;M;FRANCAIS(E);29720;PLONEOUR-LANVERN;Personne sans activite professionnelle;Employe civil-agent de service de la FP;TI2D;AB;2016;29;0290071V;YVES THEPOT;C;Bourse enseignement supérieur définitive
2017-2018;T10601;DUT INFORMATIQUE 1 ANNEE;131;85467112057;O205031675W;JOUBERT;Dawson;1997-06-26;M;FRANCAIS(E);29720;PLONEOUR-LANVERN;Personne sans activite professionnelle;Employe civil-agent de service de la FP;TI2D;AB;2016;29;0290071V;YVES THEPOT;C;Bourse enseignement supérieur définitive
2016-2017;T10601;DUT INFORMATIQUE 1 ANNEE;131;85467112057;O205031675W;JOUBERT;Dawson;1997-06-26;M;FRANCAIS(E);29720;PLONEOUR-LANVERN;Personne sans activite professionnelle;Employe civil-agent de service de la FP;TI2D;AB;2016;29;0290071V;YVES THEPOT;A;Bourse enseignement supérieur définitive
2017-2018;T10606;DUT INFORMATIQUE 2 ANNEE (apprentissage);171;34736676136;H411563314M;TOUTAIN;Oz;1998-09-06;M;FRANCAIS(E);29150;CHATEAULIN;Personne sans activite professionnelle;Retraité ancien agriculteur exploitant;S;AB;2015;29;0290023T;JEAN MOULIN;C;
2016-2017;T10601;DUT INFORMATIQUE 1 ANNEE;131;34736676136;H411563314M;TOUTAIN;Oz;1998-09-06;M;FRANCAIS(E);29150;CHATEAULIN;Personne sans activite professionnelle;Retraité ancien agriculteur exploitant;S;AB;2015;29;0290023T;JEAN MOULIN;D;
2017-2018;T10606;DUT INFORMATIQUE 2 ANNEE (apprentissage);171;56315442242;K366078856P;LECHAT;Donatien;1996-12-12;M;FRANCAIS(E);29200;BREST;Technicien;Employe civil-agent de service de la FP;TI2D;B;2015;29;0290012F;INDUSTRIEL VAUBAN;C;
2016-2017;T10601;DUT INFORMATIQUE 1 ANNEE;131;56315442242;K366078856P;LECHAT;Donatien;1996-12-12;M;FRANCAIS(E);29200;BREST;Personne sans activite professionnelle;Employe civil-agent de service de la FP;TI2D;B;2015;29;0290012F;INDUSTRIEL VAUBAN;E;Bourse enseignement supérieur définitive
2017-2018;T10602;DUT INFORMATIQUE 2 ANNEE;141;79123188899;U447685666I;BOUCARD;Dalton;1997-01-09;M;FRANCAIS(E);22200;PLOUISY;Personne sans activite professionnelle;Employe civil-agent de service de la FP;S;B;2015;22;0220018A;AUGUSTE PAVIE;C;
2016-2017;T10601;DUT INFORMATIQUE 1 ANNEE;131;79123188899;U447685666I;BOUCARD;Dalton;1997-01-09;M;FRANCAIS(E);22200;PLOUISY;Personne sans activite professionnelle;Employe civil-agent de service de la FP;S;B;2015;22;0220018A;AUGUSTE PAVIE;E;
