annee_univ;no_semestre;code_nip;rg;civilite;nom;prenom;bac;groupe_td_1a;groupe_tp_1a;moy;ue21;m2101;m2102;m2103;m2104;m2105;m2106;m2107;ue22;m2201;m2202;m2203;m2204;m2205;m2206;m2207;l2sportf;l2lv2_f
2016-2017;S2;86835463028;50;M.;PLESSIS;Louis;TI2D;H;H1;11,49;11,86;11,63;12,25;13,67;8,53;13,41;7,70;16,00;11,07;10,25;7,38;10,26;6,67;14,37;14,19;16,76;NI;NI
2017-2018;S2;43893868820;55;M.;BOURREAU;Godric;S;G;G1;12,20;12,11;10,33;11,00;14,88;10,58;12,09;10,83;13,00;12,29;12,22;11,00;12,04;14,33;15,92;10,56;11,63;NI;NI
2016-2017;S2;43893868820;72;M.;BOURREAU;Godric;S;G;G2;9,61;8,73;14,20;8,00;6,83;9,23;8,74;5,42;12,00;10,62;9,13;9,75;11,11;9,00;15,70;9,75;11,65;NI;NI
2017-2018;S2;47538413512;1;Mme;BONNEAU;Dahlia;S;F;F2;20,00;12,08;8,75;12,50;10,50;14,83;12,18;11,83;13,75;11,21;6,94;11,00;12,03;11,33;15,00;11,28;13,75;20,00;NI
2016-2017;S2;47538413512;1;Mme;BONNEAU;Dahlia;S;I;I1;20,00;6,75;5,67;4,50;5,20;7,20;11,18;3,03;10,50;8,25;4,13;5,50;8,41;8,00;11,53;10,81;12,59;15,00;NI
2016-2017;S2;81244540295;55;M.;JOYEUX;Montague;S;G;G2;11,08;10,79;9,83;8,00;12,25;12,48;12,88;6,25;12,00;11,40;12,38;8,25;12,32;9,00;15,48;11,19;10,59;NI;NI
2017-2018;S2;45339742812;64;M.;BONIFACE;Cooper;S;I;I1;11,38;11,43;10,83;15,13;11,75;6,83;13,44;10,67;12,75;11,32;14,94;5,00;10,86;11,00;13,08;12,69;10,75;NI;NI
2016-2017;S2;77768490677;61;M.;RICHE;Anderson;TI2D;G;G2;10,50;11,12;8,30;7,50;14,25;12,30;11,77;6,50;14,00;9,78;9,88;6,13;9,03;9,33;12,08;11,38;12,27;NI;NI
2016-2017;S2;47131734265;34;M.;COCHET;Emmet;S;G;G2;13,23;13,99;12,81;13,50;14,83;15,77;12,95;11,25;16,25;12,36;14,50;9,50;10,73;11,00;13,90;14,47;12,10;NI;NI
2017-2018;S2;54665103261;77;M.;PAUMIER;Davy;TI2D;G;G2;10,75;11,78;13,75;10,88;16,25;13,50;10,32;4,83;11,50;9,57;8,39;8,00;9,79;11,67;7,33;10,34;13,25;NI;NI
2016-2017;S2;54665103261;71;M.;PAUMIER;Davy;TI2D;G;G2;9,71;9,83;7,23;6,50;11,33;10,00;12,61;5,00;14,00;9,57;8,38;6,50;8,41;10,67;12,35;11,63;11,26;NI;NI
2016-2017;S2;44101846664;1;M.;COLLOMB;Branden;S;I;I1;20,00;9,28;9,37;5,50;7,50;14,07;8,46;8,47;11,25;10,99;8,50;10,50;10,83;12,67;10,78;12,63;12,35;NI;15,00
2018-2019;S2;69162013937;70;M.;MORENO;Brant;TI2D;F;F2;12,03;11,89;7,83;15,75;11,55;13,67;13,45;8,33;12,90;12,20;9,39;6,00;12,67;14,67;13,67;15,25;16,67;NI;NI
2017-2018;S2;69162013937;1;M.;MORENO;Brant;TI2D;H;H1;20,00;8,07;5,67;3,00;9,50;10,08;12,20;1,67;11,50;8,31;1,22;0,00;9,39;12,33;12,58;12,31;17,00;14,00;14,00
2017-2018;S2;93813231917;58;M.;NICOL;Jermaine;S;I;I1;12,08;12,35;9,50;15,25;14,83;11,25;11,46;11,50;11,50;11,77;13,67;6,00;13,47;15,00;11,50;12,41;7,38;NI;NI
2016-2017;S2;93813231917;69;M.;NICOL;Jermaine;S;H;H1;9,92;8,83;12,87;13,63;8,21;2,07;9,80;9,26;10,00;11,17;15,38;5,63;10,26;7,67;11,50;15,88;7,54;NI;NI
2016-2017;S2;86273800692;1;M.;DELRIEU;Ryley;S;H;H2;20,00;12,17;15,70;10,00;13,83;10,97;14,59;9,54;10,00;13,57;18,88;13,13;8,93;9,67;15,03;14,50;16,49;NI;13,00
2017-2018;S2;53933393021;1;M.;COUTURE;Nikolas;S;G;G2;20,00;12,56;10,50;12,00;13,88;12,67;12,64;11,17;13,75;12,33;10,72;13,00;10,87;7,83;17,08;13,56;16,00;20,00;NI
2017-2018;S2;29857547817;1;M.;BELOT;Justin;TI2D;G;G1;20,00;13,72;13,83;12,38;17,50;13,83;13,24;8,92;14,50;10,82;10,28;8,00;11,29;13,67;9,58;10,38;15,13;10,00;NI
2016-2017;S2;29857547817;75;M.;BELOT;Justin;TI2D;G;G1;9,39;9,15;6,47;9,50;7,75;8,08;11,38;6,67;15,00;9,67;8,75;5,13;9,60;8,00;11,48;12,53;13,83;NI;NI
2016-2017;S2;90088655332;1;M.;BRUNEL;Algar;S;I;I1;20,00;11,81;8,48;7,50;12,50;11,57;15,23;12,50;11,50;11,76;11,75;10,38;9,27;11,00;14,17;14,47;12,84;19,00;NI
2017-2018;S2;23411344478;69;M.;DUCLOS;Thom;TI2D;I;I1;11,02;10,25;6,92;13,88;10,88;10,83;10,90;7,83;10,38;11,91;13,11;9,00;12,04;10,67;16,00;10,34;14,00;NI;NI
2016-2017;S2;47157211216;41;M.;MORO;Ritchie;S;H;H1;12,51;13,81;16,50;13,00;14,96;14,47;14,30;13,00;10,00;11,02;15,88;9,25;9,39;9,33;10,03;12,16;8,54;NI;NI
2017-2018;S2;14857474806;80;M.;BOUCHEZ;Clem;S;G;G1;10,65;11,48;5,42;11,63;15,44;10,00;13,44;8,92;11,63;9,70;12,61;11,00;9,57;12,33;7,25;7,94;4,38;NI;NI
2017-2018;S2;34145747772;1;M.;LAUDE;Orville;TI2D;F;F1;20,00;13,16;18,25;11,88;14,31;13,83;11,48;14,00;8,50;11,00;9,78;8,00;11,71;9,33;12,50;14,22;10,13;NI;12,00
2016-2017;S2;37430880684;58;M.;CHAMBON;Colombain;TI2D;F;F1;10,68;10,86;10,47;14,50;9,38;10,87;10,39;8,17;15,00;10,46;9,38;5,50;7,33;14,33;15,27;12,72;13,85;NI;NI
2016-2017;S2;76224510639;1;M.;PROUST;Mark;S;G;G1;20,00;13,65;11,00;10,75;13,92;13,77;15,40;13,67;15,00;12,60;9,88;11,75;13,91;10,67;14,37;13,41;15,49;10,00;NI
2017-2018;S2;11176720602;1;M.;GEOFFROY;Terance;S;I;I1;20,00;12,60;15,33;13,00;13,75;12,83;10,71;10,67;12,75;13,61;15,44;11,00;12,46;12,00;17,08;12,84;16,75;16,50;NI
2017-2018;S2;65840347425;84;M.;PERON;Leon;STI;H;H1;10,42;11,40;8,58;4,50;16,38;12,08;14,63;6,50;11,25;9,29;3,33;2,00;10,75;7,17;13,08;16,47;13,88;NI;NI
2017-2018;S2;63598760921;75;M.;MAYER;Roosevelt;TI2D;I;I1;10,78;10,23;6,50;12,25;11,38;9,67;10,11;9,33;11,50;11,40;10,39;4,00;11,43;14,50;14,92;12,81;15,13;NI;NI
2016-2017;S2;63598760921;81;M.;MAYER;Roosevelt;TI2D;I;I1;7,38;7,90;1,83;6,00;8,17;10,27;8,60;5,59;12,50;6,77;2,25;4,88;5,87;7,00;6,38;11,72;12,49;NI;NI
2017-2018;S2;53672722186;93;M.;DECLERCQ;Gabriel;S;H;H1;10,00;10,35;6,42;4,25;12,50;12,17;10,85;7,75;14,50;9,60;7,00;5,00;7,40;12,33;12,50;15,25;9,25;NI;NI
2016-2017;S2;26322316987;60;M.;DOUBLET;Bart;TI2D;G;G2;10,50;11,15;10,13;12,50;12,50;10,38;11,03;7,67;14,00;9,75;8,50;7,00;10,33;9,33;9,93;12,31;10,59;NI;NI
2016-2017;S2;83357538195;1;M.;MINIER;Godfrey;S;F;F1;20,00;11,48;11,67;8,50;11,25;11,42;11,59;10,61;15,00;12,77;14,88;10,25;13,18;11,00;14,48;11,47;14,59;16,00;NI
2017-2018;S2;51154653012;57;M.;HUYGHE;Zach;S;H;H2;12,10;12,68;10,50;8,88;12,88;15,08;15,94;10,50;12,50;11,43;10,11;10,00;12,38;10,00;13,58;11,56;13,38;NI;NI
2016-2017;S2;75224931232;64;M.;COUDERT;Durward;S;H;H1;10,19;9,88;8,23;7,50;9,88;9,67;11,81;5,69;16,00;10,54;10,50;8,75;10,36;8,00;13,95;10,53;13,41;NI;NI
2016-2017;S2;35888125358;40;M.;MORILLON;Perceval;S;I;I1;12,61;13,49;6,56;7,50;18,67;14,53;15,56;11,28;13,00;11,61;14,13;9,75;9,43;13,00;9,90;11,63;16,02;NI;NI
2016-2017;S2;75541247770;32;M.;DEMARET;Farley;S;H;H1;13,64;15,10;17,43;13,13;18,58;17,20;13,56;13,15;10,50;11,96;18,50;8,38;8,67;10,33;9,15;15,91;9,40;NI;NI
2017-2018;S2;92573729837;1;M.;LAGOUTTE;Reynaud;TI2D;G;G1;20,00;10,94;8,50;12,38;11,94;13,08;11,80;6,58;11,63;9,98;8,22;6,00;10,02;13,00;12,00;11,00;12,13;NI;15,00
2016-2017;S2;38351837113;42;M.;PINOT;Brent;S;I;I1;12,44;13,46;10,91;9,50;17,17;15,80;12,53;10,13;14,25;11,27;7,50;10,13;11,29;12,00;14,25;11,94;15,68;NI;NI
2017-2018;S2;60922581683;47;M.;PAYEN;Lester;S;F;F1;12,92;12,38;10,00;7,63;16,44;13,42;11,25;11,58;11,75;13,54;12,17;17,00;12,89;13,00;16,17;11,22;14,63;NI;NI
2016-2017;S2;73142758354;1;M.;DUCHESNE;Mitchell;S;G;G2;20,00;10,74;3,33;11,00;14,58;11,23;10,39;8,50;12,00;10,50;7,50;10,00;10,06;6,00;12,88;14,53;13,49;16,00;NI
2016-2017;S2;21795317234;43;M.;BILLOT;Trenton;S;I;I1;12,21;12,70;3,67;8,50;16,33;15,30;15,64;8,99;14,00;11,65;10,88;7,75;9,01;12,33;13,85;16,69;12,34;NI;NI
2017-2018;S2;21792544370;50;M.;CONTE;François;S;H;H1;12,69;12,74;11,83;4,50;15,94;14,92;11,19;14,33;11,25;12,63;9,33;13,00;11,00;14,00;12,92;15,84;14,50;NI;NI
2016-2017;S2;76173016554;49;M.;THUILLIER;Robert;S;G;G1;11,51;11,70;11,35;10,00;9,33;13,90;13,45;8,83;16,00;11,31;8,88;8,38;11,33;9,33;13,75;15,09;12,99;NI;NI
2017-2018;S2;77621121162;1;M.;MINET;Micheal;S;I;I2;20,00;13,49;8,50;13,63;16,75;9,33;13,14;13,17;17,50;10,76;9,89;8,00;11,15;15,00;6,67;12,13;13,63;14,00;NI
2017-2018;S2;61567881857;59;M.;LANGEVIN;Nic;TI2D;F;F2;12,04;13,39;13,75;10,50;16,00;13,50;12,69;11,58;13,75;10,48;10,89;5,00;10,88;9,33;14,75;11,88;11,13;NI;NI
2017-2018;S2;69898236662;90;M.;HERBIN;Laz;S;I;I2;10,12;10,33;8,00;12,75;14,50;8,92;8,40;5,83;12,75;9,87;10,83;11,00;8,00;4,33;12,33;12,41;9,13;NI;NI
2017-2018;S2;22461935577;36;Mme;DANEL;Brandie;TI2D;G;G2;13,72;14,40;11,58;14,00;17,25;12,50;14,59;14,17;14,25;12,94;14,06;9,00;11,53;14,33;15,58;14,41;12,50;NI;NI
2018-2019;S2;60777144539;47;M.;AUFFRET;Seymour;S;I;I1;13,35;13,61;7,92;14,25;18,60;12,17;14,47;12,33;11,00;13,06;14,11;7,00;14,90;15,00;13,00;14,00;11,83;NI;NI
2017-2018;S2;60777144539;94;M.;AUFFRET;Seymour;S;I;I2;9,82;9,67;5,58;1,13;11,75;11,08;9,49;6,83;17,50;10,00;10,89;8,00;8,53;13,50;11,08;11,72;5,00;NI;NI
2017-2018;S2;35282300332;37;M.;LARTIGUE;Joey;S;F;F1;13,71;13,85;16,58;17,00;15,38;12,83;11,16;17,00;7,50;13,54;16,61;16,00;12,74;12,83;13,83;10,63;11,25;NI;NI
2017-2018;S2;37660261334;72;M.;BURGER;Paise;S;G;G1;10,95;10,73;7,42;5,50;16,75;11,33;9,85;5,92;13,00;11,19;8,61;12,00;11,24;8,67;13,75;13,38;10,38;NI;NI
2018-2019;S2;55509550236;40;Mme;BROUSSE;Josepha;S;H;H1;14,03;13,77;9,10;17,00;14,40;11,67;13,50;16,34;13,50;14,33;13,56;14,00;16,25;13,83;15,00;11,44;18,17;NI;NI
2017-2018;S2;29667176746;1;M.;LAFONT;Matt;S;I;I1;20,00;11,44;7,75;15,75;10,63;11,17;10,36;12,50;12,75;10,47;8,89;8,00;9,94;6,33;16,17;12,38;13,88;18,00;NI
2017-2018;S2;15187632644;48;M.;PHILIBERT;Gwilherm;S;F;F2;12,87;13,58;11,33;12,38;13,31;13,00;12,38;17,08;14,50;12,06;9,67;13,00;12,06;11,33;15,42;11,53;13,50;NI;NI
2017-2018;S2;33436351348;1;M.;LANGLET;Jasper;S;H;H2;20,00;11,47;12,83;12,75;10,63;10,33;12,61;10,83;11,75;10,93;9,67;8,00;10,88;7,50;15,17;12,75;14,38;18,00;NI
2017-2018;S2;25327695818;1;M.;HEINRICH;Morty;S;H;H1;20,00;12,77;11,25;9,75;15,19;12,75;11,11;14,83;11,50;11,17;6,89;8,00;11,10;11,67;15,42;12,88;17,00;16,00;15,00
2017-2018;S2;21176367214;49;M.;BARAT;Larrie;S;I;I1;12,86;12,74;11,92;13,50;15,75;11,42;11,62;11,00;12,75;13,00;17,00;10,00;10,86;10,00;15,42;13,97;13,88;NI;NI
2017-2018;S2;67027948358;81;M.;CARRIER;Lanford;S;I;I2;10,62;10,45;6,00;8,25;14,00;11,17;11,03;6,33;12,75;10,82;12,33;10,00;8,78;3,33;15,67;13,13;13,00;NI;NI
2017-2018;S2;31802136623;62;M.;FERRE;Joël;S;F;F1;11,83;10,72;10,92;10,50;8,13;11,42;10,57;13,00;11,75;13,09;11,11;18,00;13,90;10,83;15,08;10,31;13,13;NI;NI
2017-2018;S2;57836713864;79;Mme;BOSC;Lorainne;S;H;H1;10,72;10,34;6,50;13,00;10,50;12,75;9,33;8,50;11,50;11,15;6,67;8,00;11,01;8,67;15,83;14,81;16,63;NI;NI
2017-2018;S2;24168527372;67;M.;KEMPF;Hyram;S;H;H2;11,17;10,65;6,92;8,88;12,25;13,92;11,61;6,00;12,50;11,76;8,89;7,00;11,06;13,00;15,92;15,81;12,38;NI;0,00
2017-2018;S2;63481810054;87;M.;MOUSSET;Denzel;S;G;G2;10,33;11,25;7,00;11,25;13,13;10,83;9,17;13,50;11,50;9,27;7,33;8,00;10,78;10,33;11,25;8,44;9,63;NI;NI
2017-2018;S2;91637925502;76;M.;COLLOT;Gavin;S;I;I2;10,75;10,50;10,17;7,25;11,50;9,25;10,73;6,67;17,50;11,03;12,28;7,00;11,51;13,33;11,42;10,25;12,50;NI;NI
2018-2019;S2;78638626734;108;M.;DESHAYES;Ralph;TI2D;I;I1;9,88;10,03;6,00;15,00;10,00;9,83;9,70;8,64;11,75;9,72;4,89;10,00;12,37;5,67;12,50;11,59;10,50;NI;NI
2017-2018;S2;78638626734;100;M.;DESHAYES;Ralph;TI2D;H;H2;7,60;6,98;5,67;12,13;6,50;5,50;6,42;4,00;11,25;8,30;1,56;5,00;9,08;6,67;12,33;13,31;13,25;NI;NI
2017-2018;S2;71676414574;1;M.;SAMSON;Newton;S;F;F2;20,00;10,94;8,00;7,75;11,06;10,92;11,69;13,50;11,25;9,69;6,78;9,00;10,61;8,33;12,17;10,19;12,63;20,00;NI
2017-2018;S2;81300455334;88;M.;JACQUEMIN;Hall;S;G;G1;10,31;10,09;5,33;6,75;11,38;12,50;12,17;7,42;11,63;10,56;11,83;10,00;8,88;7,33;12,83;12,00;11,38;~;NI
2017-2018;S2;52790316834;66;M.;DAVY;Dwight;S;G;G2;11,20;10,62;7,58;7,00;15,25;10,00;10,48;6,00;14,25;11,85;10,28;12,00;11,93;9,17;13,33;13,69;12,50;NI;NI
2017-2018;S2;35274888531;51;M.;LANGEVIN;Bryce;S;F;F1;12,67;13,41;7,42;17,50;13,88;15,75;11,99;14,50;11,50;11,83;9,94;11,00;12,53;12,50;14,08;11,63;12,25;NI;NI
2017-2018;S2;33341816262;85;M.;JAOUEN;Eldred;S;F;F2;10,37;10,36;6,08;9,75;10,81;10,83;10,45;9,42;13,75;10,37;9,33;8,00;10,29;8,17;13,75;12,50;10,88;NI;NI
2017-2018;S2;30667634357;1;M.;MASSE;Emerson;S;G;G2;20,00;13,48;14,33;14,63;14,88;10,92;13,16;13,00;13,75;10,65;8,50;9,00;11,90;7,50;11,42;12,72;14,00;20,00;NI
2017-2018;S2;58572482110;71;M.;ROLLAND;Sly;S;G;G1;10,96;10,59;8,50;10,50;11,69;13,25;10,72;5,67;13,00;11,37;11,22;9,00;11,40;15,00;11,92;11,19;10,63;NI;NI
2017-2018;S2;44846262143;53;M.;JAMES;Everard;S;G;G1;12,55;12,77;11,17;12,50;13,31;12,33;10,46;14,50;14,50;12,31;14,61;13,00;13,29;10,00;10,92;10,56;12,13;NI;NI
2017-2018;S2;30946397853;40;M.;MUNOZ;Melvin;S;I;I1;13,50;13,11;12,83;15,13;14,50;13,50;12,21;12,33;11,00;13,94;16,22;9,00;15,11;15,33;16,33;10,94;16,50;NI;NI
2017-2018;S2;57491352221;73;M.;PIGEON;Lancelot;S;G;G1;10,94;11,16;5,67;11,25;14,63;9,83;11,07;9,50;13,00;10,70;10,33;6,00;10,56;9,00;15,00;13,19;11,25;NI;NI
2017-2018;S2;46878312335;74;M.;JEGOU;Gerard;S;G;G1;10,78;12,73;12,42;10,50;14,38;11,83;13,66;10,50;14,50;8,55;9,67;0,00;10,64;10,17;6,08;10,75;12,38;NI;NI
2017-2018;S2;88364273434;39;M.;JOURDAN;Hilaire;S;F;F1;13,54;13,21;9,83;7,38;18,00;13,00;13,60;12,83;12,00;13,92;15,56;15,00;15,28;13,33;10,92;12,50;12,50;NI;NI
2017-2018;S2;75878118518;42;M.;THOMASSIN;Greg;S;F;F1;13,38;13,54;12,42;15,38;13,31;13,08;12,37;16,67;11,50;13,21;12,56;13,00;13,63;12,83;15,83;12,50;12,38;NI;NI
2017-2018;S2;88115371078;1;Mme;BRET;Monna;S;I;I1;20,00;13,16;12,33;13,75;14,25;13,25;13,04;14,00;10,38;15,79;15,11;18,00;16,18;10,67;17,83;15,63;16,88;14,50;NI
2017-2018;S2;63533881383;1;Mme;LAGOUTTE;Corinne;S;H;H1;20,00;15,64;14,42;16,50;17,50;17,08;16,27;14,50;11,50;16,76;18,22;19,00;15,22;14,00;17,75;15,94;18,00;16,00;NI
2017-2018;S2;74333420861;1;M.;SCHAEFFER;Joshua;S;F;F1;20,00;12,06;5,92;13,50;14,81;10,83;13,52;13,67;8,50;11,64;12,11;12,00;9,53;8,83;15,92;13,13;10,13;10,00;NI
2018-2019;S2;27259283259;28;Mme;AUGIER;Zephyrine;S;F;F2;19,87;9,35;5,80;11,00;8,90;12,33;7,29;7,33;12,90;10,46;5,06;13,00;9,97;12,33;15,83;8,75;13,75;10,00;NI
2017-2018;S2;27259283259;52;Mme;AUGIER;Zephyrine;S;I;I2;12,65;1,72;~;0,00;5,00;3,00;0,00;0,00;0,00;3,61;0,00;0,00;4,86;2,67;14,50;4,06;0,00;10,00;NI
2018-2019;S2;73784114712;82;M.;VALLON;Ludovic;S;G;G1;11,35;11,43;8,43;12,50;7,80;11,83;14,04;12,99;13,50;11,25;8,33;12,00;12,65;9,17;14,00;10,13;14,67;NI;NI
2017-2018;S2;73784114712;101;M.;VALLON;Ludovic;S;H;H1;7,00;5,68;7,67;2,75;4,25;8,17;9,58;0,00;8,00;8,52;1,89;4,00;12,82;7,00;13,50;9,38;13,88;NI;0,00
2017-2018;S2;64871311027;60;Mme;BORDE;Eldreda;S;I;I2;11,95;11,66;10,25;12,50;13,00;13,00;10,75;8,83;12,75;12,29;10,44;11,00;11,29;9,33;17,08;13,31;17,13;NI;NI
2018-2019;S2;87854625845;54;M.;VITRY;Adolphe;SSI;F;F1;12,89;11,74;13,93;11,75;12,35;10,00;9,65;14,16;10,80;14,20;16,14;16,00;13,90;14,00;14,83;12,94;9,17;NI;NI
2017-2018;S2;63784043998;46;Mme;AYMARD;Marguerite;S;I;I1;12,98;12,87;9,25;13,88;14,38;12,25;14,03;14,17;9,88;13,10;14,11;12,00;11,54;11,83;15,33;14,06;13,63;NI;NI
2017-2018;S2;57424434124;1;M.;POMMIER;Cyrus;S;F;F2;20,00;14,60;11,83;14,75;14,81;14,83;14,93;16,00;13,75;12,19;12,78;11,00;10,94;12,17;12,08;13,47;13,88;14,00;NI
2017-2018;S2;57650110124;38;M.;BRICE;Waylon;S;G;G2;13,68;14,53;16,67;14,50;16,25;12,17;13,46;14,50;14,25;12,72;15,56;6,00;13,03;12,00;11,25;16,19;12,75;NI;NI
2016-2017;S2;62189421359;73;M.;BUREL;Fred;TI2D;H;H2;9,61;9,85;8,37;9,75;10,75;6,50;12,01;7,02;14,50;9,33;10,75;5,63;9,69;8,00;8,12;10,59;12,74;NI;NI
2016-2017;S2;41697287477;1;M.;RONDEAU;Merv;S;F;F1;20,00;11,82;9,97;7,50;12,75;12,43;13,26;12,00;12,00;10,22;9,75;7,50;10,23;12,67;9,53;11,75;10,33;18,00;NI
2017-2018;S2;45562953277;83;M.;CHANUT;Lance;S;I;I1;10,49;9,43;6,00;14,88;10,88;4,50;11,30;8,50;10,38;11,70;14,94;8,00;11,43;7,67;13,92;11,56;14,88;NI;NI
2016-2017;S2;45562953277;68;M.;CHANUT;Lance;S;I;I1;10,00;9,90;6,87;11,00;10,33;8,63;10,42;6,73;15,50;10,12;9,50;5,63;9,52;9,33;13,50;12,00;13,84;NI;NI
2018-2019;S2;42659181448;86;M.;RAMOS;Cal;S;G;G2;11,16;10,29;7,80;7,00;9,30;10,33;12,42;10,01;14,00;12,15;12,33;7,00;13,90;12,33;14,17;11,88;14,08;NI;NI
2017-2018;S2;42659181448;96;M.;RAMOS;Cal;S;H;H1;9,17;9,54;5,67;8,63;11,31;9,83;10,14;7,67;11,25;8,74;1,78;6,00;11,49;9,67;11,92;9,69;14,88;NI;NI
2017-2018;S2;64241436464;82;M.;BOUILLON;Léonard;S;H;H1;10,55;10,91;6,83;6,00;16,38;13,08;10,36;4,17;14,50;10,14;9,44;8,00;9,44;12,00;10,75;11,56;11,00;NI;NI
2017-2018;S2;70760472825;43;Mme;GUIOT;Ninon;S;G;G2;13,10;13,48;10,67;12,38;14,63;12,67;13,54;14,33;14,25;12,67;11,39;14,00;13,04;11,33;15,42;10,44;15,50;NI;NI
2017-2018;S2;21667811665;33;M.;COCHARD;Nicolas;S;I;I2;15,86;16,10;16,33;16,25;18,00;12,50;15,15;16,67;17,50;15,58;15,28;15,00;16,63;14,33;18,17;13,94;16,50;NI;NI
2018-2019;S2;51581472352;95;M.;PHILIPPE;Reginald;S;I;I1;10,88;10,10;4,97;15,00;8,40;10,33;10,97;10,99;10,75;11,76;8,67;10,00;14,30;13,33;13,50;11,75;10,50;NI;NI
2017-2018;S2;51581472352;111;M.;PHILIPPE;Reginald;S;F;F1;0,58;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,23;0,00;0,00;3,42;4,67;0,00;0,00;0,00;NI;NI
2017-2018;S2;87248877814;65;M.;BONIN;Xerxes;TI2D;H;H2;11,27;11,51;9,50;14,00;10,56;11,17;13,63;10,00;12,50;10,98;7,67;9,00;10,35;13,67;14,42;11,47;14,75;NI;NI
2017-2018;S2;71427922767;63;M.;AUFFRET;Herb;TI2D;F;F1;11,55;13,11;12,83;6,50;15,75;14,08;12,82;14,17;11,50;9,77;10,11;6,00;11,01;7,83;12,50;9,75;11,63;NI;NI
2017-2018;S2;34483555293;45;M.;BRAUD;Cordell;TI2D;F;F1;12,98;13,76;11,92;7,25;17,25;13,58;13,58;15,67;12,00;12,09;10,89;8,00;12,99;11,67;11,42;16,94;10,13;NI;NI
2018-2019;S2;66344642983;41;M.;BARTH;Celestine;TI2D;J;J1;13,99;14,23;17,57;19,00;12,75;10,00;15,78;13,50;15,00;13,72;17,78;9,00;11,95;11,83;16,33;13,50;17,75;NI;NI
2017-2018;S2;66344642983;86;M.;BARTH;Celestine;TI2D;I;I2;10,35;9,96;5,33;12,00;14,00;7,83;11,54;8,17;7,75;10,79;9,44;10,00;9,35;12,67;12,17;11,56;13,25;NI;NI
2016-2017;S2;38477849511;39;M.;LECUYER;Wilson;S;G;G1;12,65;13,01;5,83;13,75;16,50;16,30;13,99;7,75;13,00;12,23;11,88;8,88;13,01;9,33;16,58;13,63;11,84;NI;NI
2018-2019;S2;56861978936;59;M.;GRANGER;Elwyn;S;I;I2;12,73;12,95;8,60;15,50;14,95;14,33;11,75;13,24;10,25;12,48;13,94;9,00;12,20;13,00;15,17;12,34;12,08;NI;NI
2016-2017;S2;36782531426;48;M.;LESCURE;York;S;F;F2;11,70;11,91;12,53;6,50;13,42;13,73;11,74;10,94;12,00;11,46;8,13;7,50;13,21;7,33;13,77;15,88;14,08;NI;NI
2016-2017;S2;47313758461;26;M.;DESLANDES;Faron;S;G;G1;15,68;15,97;18,60;14,75;17,67;17,13;15,09;13,25;15,00;15,35;16,50;17,75;14,60;11,67;16,92;14,31;15,65;NI;NI
2016-2017;S2;59633335593;44;M.;LOYER;Norris;S;F;F1;12,03;12,79;14,97;12,50;13,79;11,88;14,03;8,17;15,00;11,17;13,38;11,63;10,66;13,67;9,22;8,50;12,07;NI;NI
2016-2017;S2;86543667537;1;Mme;CLAVIER;Mireille;S;F;F1;20,00;9,94;7,30;5,50;10,67;9,22;11,06;8,72;15,00;11,84;9,88;11,13;10,82;12,33;13,17;14,28;12,41;16,00;12,00
2016-2017;S2;46657388683;67;M.;BONIFACE;Kenelm;S;I;I1;10,02;8,92;7,27;9,00;5,83;10,10;11,57;9,53;10,00;11,28;8,50;12,50;10,09;8,00;14,80;14,22;11,67;NI;NI
2016-2017;S2;28715928655;59;M.;FORT;Arden;S;G;G2;10,54;10,33;7,53;7,50;10,04;9,28;12,18;8,75;16,00;10,78;8,25;11,13;9,90;12,00;12,70;11,09;13,50;NI;NI
2016-2017;S2;77568638318;1;M.;GAUVIN;Lenny;TI2D;F;F2;20,00;11,14;5,20;13,00;12,67;12,00;9,13;7,94;17,00;8,37;5,63;6,50;7,29;11,33;11,10;8,88;12,34;16,00;NI
2016-2017;S2;44152416733;65;M.;FLOCH;Cyrus;TI2D;H;H1;10,13;11,18;13,13;7,00;18,04;10,80;8,50;6,13;11,00;8,93;12,25;5,75;7,18;10,33;5,43;10,06;12,60;NI;NI
2016-2017;S2;26730381373;1;M.;MORAND;Yorick;TI2D;G;G2;20,00;13,13;13,43;14,50;13,83;13,72;12,28;9,08;16,00;9,90;7,88;6,38;11,83;10,67;11,68;12,22;6,58;NI;12,00
2016-2017;S2;24169747510;54;M.;COSSON;Crawford;S;F;F2;11,15;10,83;10,40;10,25;8,54;11,17;9,16;11,06;17,00;11,50;7,50;10,25;10,83;11,33;15,05;13,44;16,16;NI;NI
2017-2018;S2;43424067273;41;M.;GUITTON;Mason;S;F;F2;13,47;13,76;9,67;13,88;15,13;15,92;13,72;11,50;14,50;13,13;11,56;11,00;11,50;14,00;17,00;15,25;13,88;NI;NI
2016-2017;S2;89482619424;45;M.;AUCLAIR;Sanford;S;F;F2;12,00;13,50;11,10;8,50;16,50;12,53;13,17;10,67;19,00;10,28;8,50;6,00;10,87;9,00;11,57;13,00;14,75;NI;NI
2016-2017;S2;55859631188;1;Mme;DESHAYES;Donatienne;S;H;H1;20,00;10,11;9,43;8,50;11,00;9,37;9,77;6,63;16,00;11,78;9,75;8,13;9,52;7,67;14,92;17,13;19,00;NI;15,80
